#stages0 = writecat:docker:DR9.6.7b
#stages1 = writecat:docker:DR9.6.7
#stages2 = writecat:docker:DR9.6.4
#stages3 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.7b
#stages4 = srcs:docker:DR9.6.5b writecat:docker:DR9.6.7b
#stages5 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.5b
#stages6 = srcs:docker:DR9.6.4 writecat:docker:DR9.6.7b
#stages7 = writecat:docker:DR9.6.5b
#stages8 = writecat:docker:DR9.6.5
#stages9 = writecat:docker:DR9.6.8
#stages10 = srcs:docker:DR9.6.5b writecat:docker:DR9.6.6
0272p255 file0_rs0_skip0 stages5
0182m075 file0_rs0_skip0 stages1
0461p040 file0_rs0_skip0 stages7
2712p250 file0_rs0_skip0 stages3
3301m030 file0_rs0_skip0 stages5
3249p165 file0_rs0_skip0 stages5
0491p015 file0_rs0_skip0 stages10
2600p102 file0_rs0_skip0 stages3
3123p027 file0_rs0_skip0 stages5
3383p050 file0_rs0_skip0 stages3
3512p292 file0_rs0_skip0 stages1
3500p205 file0_rs0_skip0 stages1
3098p062 file0_rs0_skip0 stages5
3515p295 file0_rs0_skip0 stages1
3494p250 file0_rs0_skip0 stages9
0671m087 file0_rs0_skip0 stages1
2591p147 file0_rs0_skip0 stages3
3419p077 file0_rs0_skip0 stages8
3426p327 file0_rs0_skip0 stages8
0242p227 file0_rs0_skip0 stages7
0406p117 file0_rs0_skip0 stages7
0306p250 file0_rs0_skip0 stages5
3180p050 file0_rs0_skip0 stages5
0347p217 file0_rs0_skip0 stages4
0226p175 file0_rs0_skip0 stages5
0423p122 file0_rs0_skip0 stages7
0333p175 file0_rs0_skip0 stages5
0369p272 file0_rs0_skip0 stages5
2526p055 file0_rs0_skip0 stages1
2576p085 file0_rs0_skip0 stages3
0377p205 file0_rs0_skip0 stages7
0369p137 file0_rs0_skip0 stages7
3258p160 file0_rs0_skip0 stages1
0614m035 file0_rs0_skip0 stages1
3582p232 file0_rs0_skip0 stages1
0222p267 file0_rs0_skip0 stages5
2541p087 file0_rs0_skip0 stages3
0215p265 file0_rs0_skip0 stages5
1473m072 file0_rs0_skip0 stages2
3500p077 file0_rs0_skip0 stages1
0683m132 file0_rs0_skip0 stages1
3190m072 file0_rs0_skip0 stages3
0572m032 file0_rs0_skip0 stages1
0353p120 file0_rs0_skip0 stages1
0018p085 file0_rs0_skip0 stages8
0516p007 file0_rs0_skip0 stages1
2722p262 file0_rs0_skip0 stages3
3119p055 file0_rs0_skip0 stages3
0334p217 file0_rs0_skip0 stages1
0631m015 file0_rs0_skip0 stages1
0322p210 file0_rs0_skip0 stages1
0658p010 file0_rs0_skip0 stages1
2523p045 file0_rs0_skip0 stages1
0051p090 file0_rs0_skip0 stages8
2378p017 file0_rs0_skip0 stages8
3263p177 file0_rs0_skip0 stages5
3220p125 file0_rs0_skip0 stages3
0182m070 file0_rs0_skip0 stages1
0399p105 file0_rs0_skip0 stages7
3392p075 file0_rs0_skip0 stages3
0550m162 file0_rs0_skip0 stages1
0260p252 file0_rs0_skip0 stages7
2520p045 file0_rs0_skip0 stages5
0036p075 file0_rs0_skip0 stages8
0499p035 file0_rs0_skip0 stages1
0357p132 file0_rs0_skip0 stages7
0484p042 file0_rs0_skip0 stages7
3427p235 file0_rs0_skip0 stages8
0222p102 file0_rs0_skip0 stages8
0382p182 file0_rs0_skip0 stages7
0401p135 file0_rs0_skip0 stages7
0304p115 file0_rs0_skip0 stages5
0257p235 file0_rs0_skip0 stages1
0429p170 file0_rs0_skip0 stages1
2602p110 file0_rs0_skip0 stages5
3571p065 file0_rs0_skip0 stages1
2488m012 file0_rs0_skip0 stages1
0422p135 file0_rs0_skip0 stages7
2700p147 file0_rs0_skip0 stages8
0349p177 file0_rs0_skip0 stages7
2571p070 file0_rs0_skip0 stages3
0549m167 file0_rs0_skip0 stages1
0611m027 file0_rs0_skip0 stages1
2448m017 file0_rs0_skip0 stages1
2377p035 file0_rs0_skip0 stages5
